komsat;jns_karantina;komoditas;satuan;harga
bahan biologis lainnya/milligram;H;Bahan Biologis Lainnya;milligram;1
bahan biologis lainnya/millilitre;H;Bahan Biologis Lainnya;millilitre;1
bahan biologis lainnya/set;H;Bahan Biologis Lainnya;set;1
bahan biologis lainnya/vial;H;Bahan Biologis Lainnya;vial;1
bahan biologis lainnya/kilogram;H;Bahan Biologis Lainnya;kilogram;1
bahan diagnostik lainnya/buah/butir/batang;H;Bahan Diagnostik Lainnya;buah/butir/batang;1
bahan diagnostik lainnya/kilogram per kilogram of product;H;Bahan Diagnostik Lainnya;kilogram per kilogram of product;1
bahan diagnostik lainnya/kilogram per metre;H;Bahan Diagnostik Lainnya;kilogram per metre;1
bahan diagnostik lainnya/megasiemens per metre;H;Bahan Diagnostik Lainnya;megasiemens per metre;1
bahan diagnostik lainnya/number of packs;H;Bahan Diagnostik Lainnya;number of packs;1
bahan diagnostik lainnya/pallet (lift);H;Bahan Diagnostik Lainnya;pallet (lift);1
bahan diagnostik lainnya/pallet/unit load;H;Bahan Diagnostik Lainnya;pallet/unit load;1
bahan diagnostik lainnya/set;H;Bahan Diagnostik Lainnya;set;1
bahan diagnostik lainnya/test;H;Bahan Diagnostik Lainnya;test;1
bahan diagnostik lainnya/bag;H;Bahan Diagnostik Lainnya;bag;1
bahan diagnostik lainnya/botol;H;Bahan Diagnostik Lainnya;botol;1
bahan diagnostik lainnya/box;H;Bahan Diagnostik Lainnya;box;1
bahan diagnostik lainnya/carton;H;Bahan Diagnostik Lainnya;carton;1
bahan diagnostik lainnya/drum;H;Bahan Diagnostik Lainnya;drum;1
bahan diagnostik lainnya/each;H;Bahan Diagnostik Lainnya;each;1
bahan diagnostik lainnya/gram;H;Bahan Diagnostik Lainnya;gram;1
bahan diagnostik lainnya/kemasan;H;Bahan Diagnostik Lainnya;kemasan;1
bahan diagnostik lainnya/kit;H;Bahan Diagnostik Lainnya;kit;1
bahan diagnostik lainnya/lembar;H;Bahan Diagnostik Lainnya;lembar;1
bahan diagnostik lainnya/liter;H;Bahan Diagnostik Lainnya;liter;1
bahan diagnostik lainnya/microlitre;H;Bahan Diagnostik Lainnya;microlitre;1
bahan diagnostik lainnya/vial;H;Bahan Diagnostik Lainnya;vial;1
bahan diagnostik lainnya/kilogram;H;Bahan Diagnostik Lainnya;kilogram;1
bahan industri berbasis hewan/unggas lainnya/ekor;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;ekor;1
bahan industri berbasis hewan/unggas lainnya/botol;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;botol;1
bahan industri berbasis hewan/unggas lainnya/box;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;box;1
bahan industri berbasis hewan/unggas lainnya/buah/butir/batang;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;buah/butir/batang;1
bahan industri berbasis hewan/unggas lainnya/kemasan;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;kemasan;1
bahan industri berbasis hewan/unggas lainnya/koloni;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;KOLONI;1
bahan industri berbasis hewan/unggas lainnya/vial;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;vial;1
bahan industri berbasis hewan/unggas lainnya/kilogram;H;Bahan Industri Berbasis Hewan/Unggas Lainnya;kilogram;1
bahan pakan berbasis hewan/kemasan;H;Bahan Pakan Berbasis Hewan;kemasan;1
bahan pakan berbasis hewan/kilogram;H;Bahan Pakan Berbasis Hewan;kilogram;1
bahan pakan ternak / unggas lainnya/bag;H;Bahan Pakan Ternak / Unggas Lainnya;bag;1
bahan pakan ternak / unggas lainnya/box;H;Bahan Pakan Ternak / Unggas Lainnya;box;1
bahan pakan ternak / unggas lainnya/ekor;H;Bahan Pakan Ternak / Unggas Lainnya;ekor;1
bahan pakan ternak / unggas lainnya/gram;H;Bahan Pakan Ternak / Unggas Lainnya;gram;1
bahan pakan ternak / unggas lainnya/kemasan;H;Bahan Pakan Ternak / Unggas Lainnya;kemasan;1
bahan pakan ternak / unggas lainnya/ton;H;Bahan Pakan Ternak / Unggas Lainnya;ton;1
bahan pakan ternak / unggas lainnya/kilogram;H;Bahan Pakan Ternak / Unggas Lainnya;kilogram;1
bakteri eschericia coli/box;H;Bakteri Eschericia Coli;box;1
bakteri eschericia coli/kilogram;H;Bakteri Eschericia Coli;kilogram;1
bebek/kilogram;H;Bebek;kilogram;80.000
bulu/kemasan;H;Bulu;kemasan;15.000
bulu/bale;H;Bulu;bale;1
bulu/bag;H;Bulu;bag;1
bulu/box;H;Bulu;box;1
bulu/buah/butir/batang;H;Bulu;buah/butir/batang;1
bulu/kilogram per second;H;Bulu;kilogram per second;1
bulu/peti kemas;H;Bulu;peti kemas;1
bulu/kilogram;H;Bulu;kilogram;15.000
burung beo/ekor;H;Burung Beo;ekor;3.700.000
burung beo/box;H;Burung Beo;box;1
burung kakatua/ekor;H;Burung Kakatua;ekor;5.000.000
burung kicau lainnya/ekor;H;Burung Kicau Lainnya;ekor;500.000
burung kicau lainnya/buah/butir/batang;H;Burung Kicau Lainnya;buah/butir/batang;1
burung lovebird/ekor;H;Burung Lovebird;ekor;500.000
burung lovebird/buah/butir/batang;H;Burung Lovebird;buah/butir/batang;1
burung merpati/ekor;H;Burung Merpati;ekor;150.000
burung murai batu/ekor;H;Burung Murai Batu;ekor;2.000.000
burung parkit/ekor;H;Burung Parkit;ekor;1.000.000
burung puyuh/ekor;H;Burung Puyuh;ekor;20.000
daging ayam/box;H;Daging Ayam;box;30.000
daging ayam/kemasan;H;Daging Ayam;kemasan;1
daging ayam/kilogram;H;Daging Ayam;kilogram;50.000
daging ayam beku/dozen piece;H;Daging Ayam Beku;dozen piece;1
daging ayam beku/kilogram;H;Daging Ayam Beku;kilogram;45.000
daging babi/kemasan;H;Daging Babi;kemasan;150.000
daging babi/gram;H;Daging Babi;gram;15.000
daging babi/kilogram of phosphorus pentoxide (phosphoric anhydride);H;Daging Babi;kilogram of phosphorus pentoxide (phosphoric anhydride);1
daging babi/kilogram;H;Daging Babi;kilogram;120.000
daging bebek / itik/kilogram;H;Daging Bebek / Itik;kilogram;120.000
daging bebek / itik beku/dozen piece;H;Daging Bebek / Itik Beku;dozen piece;1
daging bebek / itik beku/kilogram;H;Daging Bebek / Itik Beku;kilogram;90.000
daging domba/kilogram;H;Daging Domba;kilogram;130.000
daging hewan lainnya/kemasan;H;Daging Hewan Lainnya;kemasan;100.000
daging hewan lainnya/box;H;Daging Hewan Lainnya;box;1
daging hewan lainnya/kilogram;H;Daging Hewan Lainnya;kilogram;100.000
daging kambing/kilogram;H;Daging Kambing;kilogram;130.000
daging kerbau/ton;H;Daging Kerbau;ton;150.000.000
daging kerbau/kilogram;H;Daging Kerbau;kilogram;150.000
daging kuda/kilogram;H;Daging Kuda;kilogram;120.000
daging olahan babi/gram;H;Daging Olahan Babi;gram;10.000
daging olahan babi/carton;H;Daging Olahan Babi;carton;1
daging olahan babi/kemasan;H;Daging Olahan Babi;kemasan;1
daging olahan babi/kilogram;H;Daging Olahan Babi;kilogram;100.000
daging olahan sapi/box;H;Daging Olahan Sapi;box;1
daging olahan sapi/kemasan;H;Daging Olahan Sapi;kemasan;1
daging olahan sapi/kilogram;H;Daging Olahan Sapi;kilogram;100.000
daging olahan unggas/kilogram;H;Daging Olahan Unggas;kilogram;70.000
daging sapi/ton;H;Daging Sapi;ton;150.000.000
daging sapi/box;H;Daging Sapi;box;1
daging sapi/kemasan;H;Daging Sapi;kemasan;1
daging sapi/kilogram of phosphorus pentoxide (phosphoric anhydride);H;Daging Sapi;kilogram of phosphorus pentoxide (phosphoric anhydride);1
daging sapi/kilogram;H;Daging Sapi;kilogram;150.000
daging sapi cincang/kilogram;H;Daging Sapi Cincang;kilogram;120.000
daging unggas lainnya/kilogram;H;Daging Unggas Lainnya;kilogram;100.000
doc/ekor;H;DOC;ekor;10.000
doc/buah/butir/batang;H;DOC;buah/butir/batang;1
domba/ekor;H;Domba;ekor;2.500.000
elang/ekor;H;Elang;ekor;8.500.000
gelatin/kemasan;H;Gelatin;kemasan;25.000
gelatin/each;H;Gelatin;each;1
gelatin/kilogram;H;Gelatin;kilogram;100.000
harimau/ekor;H;Harimau;ekor;50.000.000
hati/buah/butir/batang;H;Hati;buah/butir/batang;1
hati/carton;H;Hati;carton;1
hati/kilogram;H;Hati;kilogram;80.000
hewan besar ternak lainnya/ekor;H;Hewan Besar Ternak Lainnya;ekor;10.000.000
hewan besar ternak lainnya/kilogram;H;Hewan Besar Ternak Lainnya;kilogram;100.000
hewan kecil ternak lainnya/ekor;H;Hewan Kecil Ternak Lainnya;ekor;5.000.000
hewan kecil ternak lainnya/kilogram;H;Hewan Kecil Ternak Lainnya;kilogram;75.000
hewan primata percobaan lainnya/ekor;H;Hewan Primata Percobaan Lainnya;ekor;1
hormon/kemasan;H;Hormon;kemasan;100.000
hormon/tube;H;Hormon;tube;100.000
hormon/kilogram;H;Hormon;kilogram;100.000
invertebrata yang termasuk satwa liar lainnya/ekor;H;Invertebrata yang termasuk Satwa Liar Lainnya;ekor;1
jerohan hewan lainnya/kilogram;H;Jerohan Hewan Lainnya;kilogram;50.000
jerohan sapi/ton;H;Jerohan Sapi;ton;90.000.000
jerohan sapi/gram;H;Jerohan Sapi;gram;900
jerohan sapi/kilogram;H;Jerohan Sapi;kilogram;90.000
kambing/ekor;H;Kambing;ekor;3.000.000
kasein/kilogram;H;Kasein;kilogram;150.000
katak/ekor;H;Katak;ekor;90.000
keju/ton;H;Keju;ton;75.000.000
keju/bag;H;Keju;bag;75.000
keju/carton;H;Keju;carton;75.000
keju/kemasan;H;Keju;kemasan;75.000
keju/kilogram of phosphorus pentoxide (phosphoric anhydride);H;Keju;kilogram of phosphorus pentoxide (phosphoric anhydride);1
keju/kilogram per second;H;Keju;kilogram per second;1
keju/kilogram;H;Keju;kilogram;75.000
keju parut/kilogram;H;Keju Parut;kilogram;50.000
kelinci/ekor;H;Kelinci;ekor;150.000
kelinci percobaan/ekor;H;Kelinci Percobaan;ekor;500.000
kepompong/koloni;H;Kepompong;KOLONI;300.000
kepompong/ekor;H;Kepompong;ekor;1.000
kera percobaan/ekor;H;Kera Percobaan;ekor;4.000.000
kerbau/ekor;H;Kerbau;ekor;22.000.000
kerbau/buah/butir/batang;H;Kerbau;buah/butir/batang;1
kerbau/kilogram;H;Kerbau;kilogram;110.000
komodo/ekor;H;Komodo;ekor;75.000.000
kucing/ekor;H;Kucing;ekor;5.000.000
kucing/botol;H;Kucing;botol;1
kucing/box;H;Kucing;box;1
kucing/kilogram;H;Kucing;kilogram;1
kuda/ekor;H;Kuda;ekor;30.000.000
kulit babi kering/kilogram;H;Kulit Babi Kering;kilogram;60.000
kulit hewan besar lainnya/lembar;H;Kulit Hewan Besar Lainnya;lembar;100.000
kulit hewan besar lainnya/box;H;Kulit Hewan Besar Lainnya;box;1
kulit hewan besar lainnya/dozen;H;Kulit Hewan Besar Lainnya;dozen;1
kulit hewan besar lainnya/ekor;H;Kulit Hewan Besar Lainnya;ekor;1
kulit hewan besar lainnya/set;H;Kulit Hewan Besar Lainnya;set;1
kulit hewan besar lainnya/kilogram;H;Kulit Hewan Besar Lainnya;kilogram;100.000
kulit hewan kecil lainnya/lembar;H;Kulit Hewan Kecil Lainnya;lembar;100.000
kulit hewan kecil lainnya/dozen;H;Kulit Hewan Kecil Lainnya;dozen;1
kulit hewan kecil lainnya/ekor;H;Kulit Hewan Kecil Lainnya;ekor;1
kulit hewan kecil lainnya/kilogram;H;Kulit Hewan Kecil Lainnya;kilogram;100.000
kulit kambing/buah/butir/batang;H;Kulit Kambing;buah/butir/batang;1
kulit kambing/dozen;H;Kulit Kambing;dozen;1
kulit kambing/kilogram;H;Kulit Kambing;kilogram;30.000
kulit kambing basah/dozen;H;Kulit Kambing Basah;dozen;1
kulit kambing basah/kilogram;H;Kulit Kambing Basah;kilogram;20.000
kulit kambing jadi/gram;H;Kulit Kambing Jadi;gram;8.000
kulit kambing jadi/box;H;Kulit Kambing Jadi;box;1
kulit kambing jadi/kilogram;H;Kulit Kambing Jadi;kilogram;800.000
kulit kambing kering/lembar;H;Kulit Kambing Kering;lembar;150.000
kulit kambing kering/kilogram;H;Kulit Kambing Kering;kilogram;120.000
kulit reptil kecil lainnya/lembar;H;Kulit Reptil Kecil Lainnya;lembar;100.000
kulit reptil kecil lainnya/kilogram;H;Kulit Reptil Kecil Lainnya;kilogram;100.000
kulit reptil kering/lembar;H;Kulit Reptil Kering;lembar;100.000
kulit reptil kering/kilogram;H;Kulit Reptil Kering;kilogram;100.000
kulit sapi/meter persegi;H;Kulit Sapi;meter persegi;1
kulit sapi/kilogram;H;Kulit Sapi;kilogram;30.000
kulit sapi basah/kilogram per second;H;Kulit Sapi Basah;kilogram per second;1
kulit sapi basah/kilogram;H;Kulit Sapi Basah;kilogram;30.000
kulit sapi jadi/box;H;Kulit Sapi Jadi;box;50.000
kulit sapi jadi/buah/butir/batang;H;Kulit Sapi Jadi;buah/butir/batang;1
kulit sapi jadi/kemasan;H;Kulit Sapi Jadi;kemasan;1
kulit sapi jadi/kilogram;H;Kulit Sapi Jadi;kilogram;150.000
kulit sapi kering/meter persegi;H;Kulit Sapi Kering;meter persegi;1
kulit sapi kering/gram;H;Kulit Sapi Kering;gram;0
kulit sapi kering/kilogram;H;Kulit Sapi Kering;kilogram;120.000
kulit ular kering/lembar;H;Kulit Ular Kering;lembar;150.000
kulit ular kering/kemasan;H;Kulit Ular Kering;kemasan;80.000
kulit ular kering/box;H;Kulit Ular Kering;box;1
kulit ular kering/buah/butir/batang;H;Kulit Ular Kering;buah/butir/batang;1
kulit ular kering/kilogram;H;Kulit Ular Kering;kilogram;500.000
kupu-kupu/ekor;H;Kupu-kupu;ekor;5.000
lebah/carton;H;Lebah;carton;1
lebah/drum;H;Lebah;drum;1
lebah/kilogram;H;Lebah;kilogram;150.000
lidah/kilogram;H;Lidah;kilogram;75.000
madu/liter;H;Madu;liter;250.000
madu/gram;H;Madu;gram;2.000
madu/botol;H;Madu;botol;1
madu/box;H;Madu;box;1
madu/carton;H;Madu;carton;1
madu/kemasan;H;Madu;kemasan;1
madu/kilogram;H;Madu;kilogram;200.000
mamalia besar yang termasuk satwa liar lainnya/ekor;H;Mamalia Besar yang termasuk Satwa Liar Lainnya;ekor;1
mamalia kecil yang termasuk satwa liar lainnya/ekor;H;Mamalia Kecil yang termasuk Satwa Liar Lainnya;ekor;1
materi reproduksi lainnya/box;H;Materi Reproduksi Lainnya;box;1
materi reproduksi lainnya/buah/butir/batang;H;Materi Reproduksi Lainnya;buah/butir/batang;1
materi reproduksi lainnya/carton;H;Materi Reproduksi Lainnya;carton;1
materi reproduksi lainnya/ekor;H;Materi Reproduksi Lainnya;ekor;1
materi reproduksi lainnya/kemasan;H;Materi Reproduksi Lainnya;kemasan;1
materi reproduksi lainnya/kilogram;H;Materi Reproduksi Lainnya;kilogram;1
mentega/ton;H;Mentega;ton;100.000.000
mentega/carton;H;Mentega;carton;1
mentega/kilogram;H;Mentega;kilogram;100.000
merak/ekor;H;Merak;ekor;30.000.000
nuri (sebangsanya)/ekor;H;Nuri (Sebangsanya);ekor;3.000.000
nuri (sebangsanya)/box;H;Nuri (Sebangsanya);box;1
olahan daging babi/kilogram per second;H;Olahan Daging Babi;kilogram per second;1
olahan daging babi/kilogram;H;Olahan Daging Babi;kilogram;100.000
pakan hewan kesayangan/ton;H;Pakan Hewan Kesayangan;ton;50.000.000
pakan hewan kesayangan/botol;H;Pakan Hewan Kesayangan;botol;1
pakan hewan kesayangan/buah/butir/batang;H;Pakan Hewan Kesayangan;buah/butir/batang;1
pakan hewan kesayangan/each;H;Pakan Hewan Kesayangan;each;1
pakan hewan kesayangan/kilogram per second;H;Pakan Hewan Kesayangan;kilogram per second;1
pakan hewan kesayangan/meter kubik;H;Pakan Hewan Kesayangan;meter kubik;1
pakan hewan kesayangan/pound (avoirdupois) per minute degree fahrenheit;H;Pakan Hewan Kesayangan;pound (avoirdupois) per minute degree Fahrenheit;1
pakan hewan kesayangan/tank, cylindrical;H;Pakan Hewan Kesayangan;tank, cylindrical;1
pakan hewan kesayangan/bag;H;Pakan Hewan Kesayangan;bag;1
pakan hewan kesayangan/box;H;Pakan Hewan Kesayangan;box;1
pakan hewan kesayangan/carton;H;Pakan Hewan Kesayangan;carton;1
pakan hewan kesayangan/gram;H;Pakan Hewan Kesayangan;gram;1
pakan hewan kesayangan/kemasan;H;Pakan Hewan Kesayangan;kemasan;1
pakan hewan kesayangan/kilogram;H;Pakan Hewan Kesayangan;kilogram;50.000
pakan ternak/each;H;Pakan Ternak;each;1
pakan ternak/kemasan;H;Pakan Ternak;kemasan;1
pakan ternak/number of international units;H;Pakan Ternak;number of international units;1
pakan ternak/vial;H;Pakan Ternak;vial;1
pakan ternak/bag;H;Pakan Ternak;bag;1
pakan ternak/botol;H;Pakan Ternak;botol;1
pakan ternak/box;H;Pakan Ternak;box;1
pakan ternak/gram;H;Pakan Ternak;gram;1
pakan ternak/liter;H;Pakan Ternak;liter;1
pakan ternak/ton;H;Pakan Ternak;ton;1
pakan ternak/kilogram;H;Pakan Ternak;kilogram;1
produk hewan lainnya/kemasan;H;Produk Hewan Lainnya;kemasan;1
produk hewan lainnya/box;H;Produk Hewan Lainnya;box;1
produk hewan lainnya/ekor;H;Produk Hewan Lainnya;ekor;1
produk hewan lainnya/gram;H;Produk Hewan Lainnya;gram;1
produk hewan lainnya/kilogram;H;Produk Hewan Lainnya;kilogram;1
produk olahan daging hewan lainnya/gram;H;Produk Olahan Daging Hewan Lainnya;gram;1
produk olahan daging hewan lainnya/kilogram;H;Produk Olahan Daging Hewan Lainnya;kilogram;1
produk olahan daging unggas lainnya/kemasan;H;Produk Olahan Daging Unggas Lainnya;kemasan;1
produk olahan daging unggas lainnya/kilogram;H;Produk Olahan Daging Unggas Lainnya;kilogram;1
produk olahan susu lainnya/bag;H;Produk Olahan Susu Lainnya;bag;1
produk olahan susu lainnya/box;H;Produk Olahan Susu Lainnya;box;1
produk olahan susu lainnya/buah/butir/batang;H;Produk Olahan Susu Lainnya;buah/butir/batang;1
produk olahan susu lainnya/carton;H;Produk Olahan Susu Lainnya;carton;1
produk olahan susu lainnya/drum;H;Produk Olahan Susu Lainnya;drum;1
produk olahan susu lainnya/kemasan;H;Produk Olahan Susu Lainnya;kemasan;1
produk olahan susu lainnya/kilogram of phosphorus pentoxide (phosphoric anhydride);H;Produk Olahan Susu Lainnya;kilogram of phosphorus pentoxide (phosphoric anhydride);1
produk olahan susu lainnya/ton;H;Produk Olahan Susu Lainnya;ton;1
produk olahan susu lainnya/kilogram;H;Produk Olahan Susu Lainnya;kilogram;1
produk olahan telur lainnya/kilogram per second;H;Produk Olahan Telur Lainnya;kilogram per second;1
produk olahan telur lainnya/kilogram;H;Produk Olahan Telur Lainnya;kilogram;1
produk sampingan hewan lainnya/box;H;Produk Sampingan Hewan Lainnya;box;1
produk sampingan hewan lainnya/buah/butir/batang;H;Produk Sampingan Hewan Lainnya;buah/butir/batang;1
produk sampingan hewan lainnya/ekor;H;Produk Sampingan Hewan Lainnya;ekor;1
produk sampingan hewan lainnya/kemasan;H;Produk Sampingan Hewan Lainnya;kemasan;1
produk sampingan hewan lainnya/kilogram;H;Produk Sampingan Hewan Lainnya;kilogram;1
produk sampingan lainnya/box;H;Produk Sampingan Lainnya;box;1
produk sampingan lainnya/ekor;H;Produk Sampingan Lainnya;ekor;1
produk sampingan lainnya/gram;H;Produk Sampingan Lainnya;gram;1
produk sampingan lainnya/kemasan;H;Produk Sampingan Lainnya;kemasan;1
produk sampingan lainnya/kilogram;H;Produk Sampingan Lainnya;kilogram;1
reptil besar yang termasuk satwa liar lainnya/ekor;H;Reptil Besar yang termasuk Satwa Liar Lainnya;ekor;1
reptil kecil yang termasuk satwa liar lainnya/ekor;H;Reptil Kecil yang termasuk Satwa Liar Lainnya;ekor;1
sapi/ekor;H;Sapi;ekor;19.000.000
sapi/buah/butir/batang;H;Sapi;buah/butir/batang;1
sapi/kilogram;H;Sapi;kilogram;190.000
sarang burung walet/kilogram;H;Sarang Burung Walet;kilogram;20.000.000
sarang burung walet/gram;H;Sarang Burung Walet;gram;200.000
sarang burung walet/botol;H;Sarang Burung Walet;botol;1
sarang burung walet/box;H;Sarang Burung Walet;box;1
sarang burung walet/carton;H;Sarang Burung Walet;carton;1
sarang burung walet/kemasan;H;Sarang Burung Walet;kemasan;1
sarang burung walet/kilogram of phosphorus pentoxide (phosphoric anhydride);H;Sarang Burung Walet;kilogram of phosphorus pentoxide (phosphoric anhydride);1
semen beku/kemasan;H;Semen Beku;kemasan;30.000
semen beku/set;H;Semen Beku;set;1
semen beku/vial;H;Semen Beku;vial;1
semen beku/kilogram;H;Semen Beku;kilogram;15.000
serangga (berkoloni) lainnya/koloni;H;Serangga (berkoloni) Lainnya;KOLONI;50.000
serangga (berkoloni) lainnya/ekor;H;Serangga (berkoloni) Lainnya;ekor;1.000
serangga (berkoloni) lainnya/box;H;Serangga (berkoloni) Lainnya;box;1
serangga (berkoloni) lainnya/kemasan;H;Serangga (berkoloni) Lainnya;kemasan;1
serangga (berkoloni) lainnya/kilogram;H;Serangga (berkoloni) Lainnya;kilogram;10.000
singa/ekor;H;Singa;ekor;1
susu hewan lainnya/kilogram;H;Susu Hewan Lainnya;kilogram;50.000
susu kambing/box;H;Susu Kambing;box;1
susu kambing/kilogram;H;Susu Kambing;kilogram;60.000
susu sapi/ton;H;Susu Sapi;ton;12.000.000
susu sapi/liter;H;Susu Sapi;liter;15.000
susu sapi/gram;H;Susu Sapi;gram;1.200
susu sapi/box;H;Susu Sapi;box;1
susu sapi/carton;H;Susu Sapi;carton;1
susu sapi/kemasan;H;Susu Sapi;kemasan;1
susu sapi/kilogram;H;Susu Sapi;kilogram;25.000
tanduk/buah/butir/batang;H;Tanduk;buah/butir/batang;250.000
tanduk/kilogram;H;Tanduk;kilogram;50.000
telur ayam/kemasan;H;Telur Ayam;kemasan;15.000
telur ayam/buah/butir/batang;H;Telur Ayam;buah/butir/batang;3.000
telur ayam/box;H;Telur Ayam;box;1
telur ayam/kilogram per second;H;Telur Ayam;kilogram per second;1
telur ayam/kilogram;H;Telur Ayam;kilogram;30.000
telur bebek / itik/kilogram;H;Telur Bebek / Itik;kilogram;35.000
telur burung puyuh/kilogram;H;Telur Burung Puyuh;kilogram;32.000
telur spf/buah/butir/batang;H;Telur SPF;buah/butir/batang;3.500
telur spf/kilogram;H;Telur SPF;kilogram;35.000
telur tetas/buah/butir/batang;H;Telur Tetas;buah/butir/batang;3.500
telur tetas lainnya/kilogram;H;Telur Tetas Lainnya;kilogram;35.000
tepung hewan/ton;H;Tepung Hewan;ton;25.000.000
tepung hewan/box;H;Tepung Hewan;box;1
tepung hewan/kilogram;H;Tepung Hewan;kilogram;25.000
tepung unggas/ton;H;Tepung Unggas;ton;18.000.000
tepung unggas/gram;H;Tepung Unggas;gram;1.800
tepung unggas/kilogram;H;Tepung Unggas;kilogram;18.000
tikus percobaan/ekor;H;Tikus Percobaan;ekor;20.000
tokek/ekor;H;Tokek;ekor;60.000
transglutaminase/box;H;Transglutaminase;box;100.000
transglutaminase/kemasan;H;Transglutaminase;kemasan;100.000
transglutaminase/kilogram per second;H;Transglutaminase;kilogram per second;1
transglutaminase/kilogram;H;Transglutaminase;kilogram;100.000
tulang/kemasan;H;Tulang;kemasan;60.000
tulang/box;H;Tulang;box;1
tulang/kilogram;H;Tulang;kilogram;60.000
ular kobra/ekor;H;Ular Kobra;ekor;380.000
ular pucuk/ekor;H;Ular Pucuk;ekor;150.000
ular sanca/ekor;H;Ular Sanca;ekor;800.000
ulat/kilogram;H;Ulat;kilogram;60.000
unggas besar kesayangan/ekor;H;Unggas Besar Kesayangan;ekor;1
unggas besar ternak lainnya/each;H;Unggas Besar Ternak Lainnya;each;1
unggas besar ternak lainnya/kilogram per second;H;Unggas Besar Ternak Lainnya;kilogram per second;1
unggas besar ternak lainnya/kilogram;H;Unggas Besar Ternak Lainnya;kilogram;1
unggas kecil kesayangan lainnya/buah/butir/batang;H;Unggas Kecil Kesayangan Lainnya;buah/butir/batang;1
unggas kecil kesayangan lainnya/ekor;H;Unggas Kecil Kesayangan Lainnya;ekor;1
unggas kecil ternak lainnya/ekor;H;Unggas Kecil Ternak Lainnya;ekor;1
unggas kecil ternak lainnya/kilogram;H;Unggas Kecil Ternak Lainnya;kilogram;1
unggas kecil yang termasuk satwa liar lainnya/buah/butir/batang;H;Unggas Kecil yang termasuk Satwa Liar Lainnya;buah/butir/batang;1
unggas kecil yang termasuk satwa liar lainnya/ekor;H;Unggas Kecil yang termasuk Satwa Liar Lainnya;ekor;1
unggas umur sehari lainnya/buah/butir/batang;H;Unggas Umur Sehari Lainnya;buah/butir/batang;1
unggas umur sehari lainnya/ekor;H;Unggas Umur Sehari Lainnya;ekor;1
vaksin/kemasan;H;Vaksin;kemasan;50.000
vaksin/ampoule;H;Vaksin;ampoule;25.000
vaksin/botol;H;Vaksin;botol;25.000
